freq,citizen,sex,age,unit,geo\TIME_PERIOD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,FOR,M,Y_GE20,PC_POP,HR,NaN,NaN,NaN,0.1,NaN,0.1,NaN,NaN,NaN,NaN,0.1,NaN,0.1,NaN,0.1,0.3,0.2
A,FOR,M,Y_GE20,PC_POP,HU,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.4
A,FOR,M,Y_GE20,PC_POP,IE,10.1,9.0,7.0,5.4,3.9,3.3,3.4,4.0,4.2,4.6,5.1,5.5,4.8,3.8,4.7,5.2,5.7
A,FOR,M,Y_GE20,PC_POP,IS,NaN,NaN,NaN,1.5,0.8,1.4,1.2,1.1,NaN,NaN,0.6,1.8,2.0,2.2,2.2,2.5,2.4
A,FOR,M,Y_GE20,PC_POP,IT,0.8,0.9,1.1,1.0,1.0,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.6
A,FOR,M,Y_GE20,PC_POP,LT,NaN,NaN,NaN,NaN,NaN,NaN,0.2,NaN,0.2,0.2,0.3,0.4,0.4,0.3,0.5,0.5,1.0
A,FOR,M,Y_GE20,PC_POP,LU,9.2,9.6,9.2,11.3,12.2,10.6,11.4,12.3,13.7,13.0,14.8,16.8,14.6,5.0,10.3,11.1,15.2
A,FOR,M,Y_GE20,PC_POP,LV,0.2,0.3,NaN,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.5,NaN,NaN,NaN,0.8
A,FOR,M,Y_GE20,PC_POP,ME,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,FOR,M,Y_GE20,PC_POP,MK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A,FOR,M,Y_GE20,PC_POP,MT,0.3,0.4,0.4,NaN,0.5,0.8,1.0,1.5,1.3,4.0,6.7,9.8,8.2,6.5,9.2,14.7,13.1
A,FOR,M,Y_GE20,PC_POP,NL,0.5,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.8,1.1,1.1,0.9,2.5,1.9,2.3,2.6
A,FOR,M,Y_GE20,PC_POP,NO,2.2,2.7,3.0,3.4,4.3,4.8,3.9,4.5,3.7,3.4,4.5,3.4,3.2,2.3,2.6,2.6,2.4
A,FOR,M,Y_GE20,PC_POP,PL,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.5,0.6,0.5,0.1,0.2,0.5,0.8
A,FOR,M,Y_GE20,PC_POP,PT,0.8,0.8,0.9,0.6,0.4,0.4,0.4,0.3,0.4,0.5,0.6,1.2,1.4,0.4,1.2,2.2,2.2
A,FOR,M,Y_GE20,PC_POP,RO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,0.1
A,FOR,M,Y_GE20,PC_POP,RS,NaN,NaN,NaN,NaN,NaN,NaN,0.1,0.1,0.1,NaN,0.1,NaN,0.0,NaN,NaN,0.2,0.2
A,FOR,M,Y_GE20,PC_POP,SE,1.8,2.1,2.3,2.7,2.6,2.7,2.7,2.8,3.4,3.9,4.7,5.0,5.1,4.1,3.5,3.2,2.8
A,FOR,M,Y_GE20,PC_POP,SI,0.2,0.2,0.2,0.5,0.9,0.7,0.6,0.6,0.7,0.5,0.8,1.2,2.0,1.2,1.4,1.6,1.2
A,FOR,M,Y_GE20,PC_POP,SK,NaN,NaN,0.1,NaN,NaN,NaN,0.1,NaN,NaN,NaN,0.1,0.1,0.1,NaN,NaN,NaN,NaN
A,FOR,M,Y_GE20,PC_POP,UK,4.0,3.8,3.5,3.4,3.2,3.0,3.3,3.3,3.6,3.5,3.3,3.2,NaN,NaN,NaN,NaN,NaN
A,FOR,T,Y15-64,PC_POP,AT,3.2,2.9,2.7,2.9,3.2,3.4,3.8,4.3,5.0,5.2,4.8,4.9,4.8,4.4,4.5,5.2,5.7
A,FOR,T,Y15-64,PC_POP,BA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0
A,FOR,T,Y15-64,PC_POP,BE,3.0,3.2,3.3,3.8,3.8,3.8,4.4,3.5,3.3,3.1,3.0,3.3,3.3,2.9,3.1,3.4,4.0
A,FOR,T,Y15-64,PC_POP,BG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,0.1,0.1,NaN,NaN,NaN,NaN,NaN,0.2
A,FOR,T,Y15-64,PC_POP,CH,6.1,6.6,4.8,5.1,7.2,7.7,7.8,8.1,8.3,8.1,7.8,7.7,7.5,7.5,7.6,8.0,8.3
A,FOR,T,Y15-64,PC_POP,CY,9.5,10.5,12.7,12.2,11.4,9.3,6.9,6.3,6.2,6.6,7.6,8.2,9.9,8.6,9.2,10.5,11.3
A,FOR,T,Y15-64,PC_POP,CZ,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.4,0.6,0.6,0.7,0.9,1.5,1.7
A,FOR,T,Y15-64,PC_POP,DE,1.7,1.7,1.2,1.3,1.6,1.9,2.3,2.9,4.1,4.4,4.7,4.5,3.3,4.2,4.6,5.3,5.7
A,FOR,T,Y15-64,PC_POP,DK,1.0,1.3,1.4,1.7,2.1,2.3,2.3,2.5,2.4,2.7,2.7,2.7,2.7,1.6,1.3,1.4,2.5
A,FOR,T,Y15-64,PC_POP,EA20,2.3,2.2,1.9,1.8,1.7,1.6,1.7,1.8,2.1,2.2,2.4,2.5,2.2,2.4,2.6,3.1,3.3
A,FOR,T,Y15-64,PC_POP,EE,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.4,0.9,0.8,0.9,1.1,1.5,1.5,2.3,4.1
A,FOR,T,Y15-64,PC_POP,EL,1.8,2.0,1.9,1.7,1.4,1.1,0.8,0.6,0.4,0.4,0.5,0.6,0.4,0.3,0.2,0.2,0.2
A,FOR,T,Y15-64,PC_POP,ES,5.6,5.1,4.4,3.5,2.5,1.6,1.4,1.4,1.4,1.6,2.0,2.6,2.9,3.0,3.6,4.1,4.8
A,FOR,T,Y15-64,PC_POP,EU27_2020,1.8,1.7,1.6,1.5,1.4,1.4,1.4,1.5,1.8,1.9,2.1,2.2,2.0,2.0,2.2,2.6,2.9
A,FOR,T,Y15-64,PC_POP,FI,0.7,0.9,1.0,1.1,1.1,1.3,1.0,1.3,1.0,0.9,1.0,1.1,1.2,1.6,1.9,2.5,2.8
A,FOR,T,Y15-64,PC_POP,FR,1.4,1.3,1.1,1.3,1.3,1.3,1.3,1.3,1.4,1.5,1.5,1.6,1.6,1.3,1.3,1.4,1.4
A,FOR,T,Y15-64,PC_POP,HR,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,NaN,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2
A,FOR,T,Y15-64,PC_POP,HU,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5
A,FOR,T,Y15-64,PC_POP,IE,10.3,9.5,7.8,6.3,4.9,4.0,3.9,4.4,4.8,5.2,5.9,6.1,5.4,4.4,5.4,6.3,6.9
A,FOR,T,Y15-64,PC_POP,IS,NaN,NaN,NaN,1.6,1.0,1.5,1.4,1.0,0.3,NaN,0.6,1.7,1.9,2.6,2.8,3.0,2.9
A,FOR,T,Y15-64,PC_POP,IT,1.6,1.7,1.8,1.7,1.7,1.4,1.2,1.2,1.1,1.0,1.0,1.0,0.9,0.9,0.9,0.9,1.0
A,FOR,T,Y15-64,PC_POP,LT,NaN,NaN,NaN,NaN,NaN,0.1,0.2,0.1,0.1,0.1,0.3,0.4,0.3,0.3,0.5,0.6,1.3
A,FOR,T,Y15-64,PC_POP,LU,9.8,10.5,10.2,12.0,13.1,11.9,12.3,13.4,14.6,14.2,16.1,16.9,15.8,5.2,11.2,12.3,16.3
A,FOR,T,Y15-64,PC_POP,LV,0.2,0.4,0.2,0.2,0.3,0.4,0.3,0.4,0.3,0.3,0.4,0.4,0.5,0.6,0.5,0.7,0.9
A,FOR,T,Y15-64,PC_POP,ME,NaN,NaN,NaN,0.4,0.5,0.4,0.7,0.5,0.4,0.4,0.4,NaN,NaN,NaN,NaN,NaN,NaN
A,FOR,T,Y15-64,PC_POP,MK,NaN,NaN,0.0,0.0,0.1,0.1,0.0,NaN,0.1,0.1,NaN,0.0,0.1,NaN,NaN,NaN,NaN
A,FOR,T,Y15-64,PC_POP,MT,0.2,0.3,0.4,0.2,0.3,0.7,1.0,1.5,1.2,4.3,7.8,11.4,10.0,9.5,10.4,15.0,13.5
A,FOR,T,Y15-64,PC_POP,NL,0.8,0.8,0.7,0.8,0.9,0.9,0.9,0.9,0.9,1.2,1.4,1.5,1.3,3.0,2.4,3.0,3.4
A,FOR,T,Y15-64,PC_POP,NO,2.3,2.6,3.0,3.6,4.4,4.9,4.4,5.2,4.4,4.2,5.6,4.4,4.3,2.6,2.7,3.2,3.3
A,FOR,T,Y15-64,PC_POP,PL,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.5,0.1,0.2,0.7,1.1
A,FOR,T,Y15-64,PC_POP,PT,1.4,1.6,1.4,1.0,0.7,0.7,0.7,0.6,0.6,0.6,0.9,1.7,1.9,0.6,1.6,3.2,3.2
A,FOR,T,Y15-64,PC_POP,RO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,0.2
A,FOR,T,Y15-64,PC_POP,RS,NaN,NaN,NaN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.2
A,FOR,T,Y15-64,PC_POP,SE,2.2,2.5,2.8,3.3,3.3,3.5,3.7,3.8,4.3,4.7,5.5,6.0,6.2,5.0,4.3,4.0,3.7
A,FOR,T,Y15-64,PC_POP,SI,0.4,0.4,0.4,0.6,1.1,1.1,1.1,1.0,1.1,1.1,1.5,1.8,2.2,1.4,1.8,2.1,1.7
A,FOR,T,Y15-64,PC_POP,SK,0.1,0.1,0.1,NaN,NaN,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,NaN,0.2,0.2,0.3
A,FOR,T,Y15-64,PC_POP,UK,4.6,4.4,4.1,4.1,3.9,3.7,4.0,4.1,4.5,4.5,4.2,4.1,NaN,NaN,NaN,NaN,NaN
A,FOR,T,Y20-64,PC_POP,AT,3.3,3.0,2.8,3.0,3.3,3.5,3.9,4.4,5.1,5.2,4.8,4.9,4.8,4.4,4.6,5.2,5.8
A,FOR,T,Y20-64,PC_POP,BA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0
A,FOR,T,Y20-64,PC_POP,BE,3.1,3.3,3.4,3.9,3.9,3.9,4.5,3.6,3.4,3.2,3.2,3.4,3.4,2.9,3.2,3.6,4.2
A,FOR,T,Y20-64,PC_POP,BG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2
A,FOR,T,Y20-64,PC_POP,CH,6.5,7.0,5.1,5.4,7.6,8.1,8.2,8.4,8.7,8.4,8.0,8.0,7.8,7.7,7.8,8.2,8.6
A,FOR,T,Y20-64,PC_POP,CY,10.1,11.1,13.5,13.0,12.1,9.8,7.2,6.5,6.3,6.8,7.8,8.3,10.2,8.9,9.5,11.0,11.6
A,FOR,T,Y20-64,PC_POP,CZ,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.5,0.5,0.5,0.4,0.6,0.6,0.7,0.9,1.5,1.7
A,FOR,T,Y20-64,PC_POP,DE,1.8,1.7,1.3,1.3,1.6,1.9,2.4,2.9,4.1,4.4,4.7,4.5,3.4,4.3,4.6,5.3,5.6
A,FOR,T,Y20-64,PC_POP,DK,1.0,1.3,1.5,1.8,2.2,2.5,2.5,2.7,2.5,2.8,2.9,2.8,2.8,1.7,1.4,1.6,2.7
A,FOR,T,Y20-64,PC_POP,EA20,2.3,2.2,2.0,1.8,1.7,1.6,1.7,1.8,2.1,2.2,2.4,2.5,2.3,2.4,2.7,3.1,3.4
A,FOR,T,Y20-64,PC_POP,EE,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.5,0.9,0.8,1.0,1.2,1.6,1.6,2.4,4.0
A,FOR,T,Y20-64,PC_POP,EL,1.8,2.0,1.9,1.7,1.4,1.1,0.9,0.6,0.4,0.4,0.5,0.6,0.4,0.2,0.2,0.2,0.2
A,FOR,T,Y20-64,PC_POP,ES,5.5,4.9,4.3,3.4,2.4,1.6,1.3,1.4,1.3,1.5,2.0,2.6,2.9,3.0,3.6,4.0,4.7
A,FOR,T,Y20-64,PC_POP,EU27_2020,1.8,1.8,1.6,1.5,1.4,1.4,1.4,1.5,1.8,1.9,2.1,2.2,2.0,2.1,2.3,2.6,2.9
A,FOR,T,Y20-64,PC_POP,FI,0.7,0.9,1.0,1.1,1.2,1.3,1.1,1.3,1.1,0.9,1.1,1.1,1.2,1.7,1.9,2.5,2.9
A,FOR,T,Y20-64,PC_POP,FR,1.4,1.3,1.2,1.4,1.3,1.3,1.3,1.3,1.4,1.5,1.5,1.6,1.6,1.3,1.4,1.4,1.4
A,FOR,T,Y20-64,PC_POP,HR,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,NaN,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2
A,FOR,T,Y20-64,PC_POP,HU,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5
A,FOR,T,Y20-64,PC_POP,IE,10.9,10.0,8.1,6.5,5.0,4.1,4.2,4.7,5.1,5.5,6.2,6.4,5.7,4.7,5.8,6.8,7.4
A,FOR,T,Y20-64,PC_POP,IS,NaN,NaN,NaN,1.6,1.0,1.5,1.4,1.1,0.3,NaN,0.6,1.8,2.1,2.7,3.0,3.2,3.0
A,FOR,T,Y20-64,PC_POP,IT,1.5,1.6,1.8,1.7,1.7,1.4,1.2,1.1,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,1.0
A,FOR,T,Y20-64,PC_POP,LT,NaN,NaN,NaN,NaN,NaN,0.1,0.2,0.1,0.1,0.2,0.3,0.4,0.4,0.3,0.5,0.6,1.3
A,FOR,T,Y20-64,PC_POP,LU,10.3,11.0,10.7,12.6,13.8,12.5,12.9,13.9,15.1,14.8,16.8,17.7,16.5,5.3,11.5,12.6,17.0
A,FOR,T,Y20-64,PC_POP,LV,0.2,0.4,0.2,0.2,0.3,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.7,0.5,0.8,0.9
A,FOR,T,Y20-64,PC_POP,ME,NaN,NaN,NaN,0.4,0.6,0.5,0.7,0.5,0.4,0.4,0.4,NaN,NaN,NaN,NaN,NaN,NaN
A,FOR,T,Y20-64,PC_POP,MK,NaN,NaN,0.0,0.0,0.1,0.1,0.1,NaN,0.1,0.1,NaN,0.1,0.1,NaN,NaN,NaN,NaN
A,FOR,T,Y20-64,PC_POP,MT,0.2,0.3,0.4,0.2,0.4,0.8,1.1,1.5,1.2,4.5,8.2,11.7,10.3,9.4,10.6,15.5,14.0
A,FOR,T,Y20-64,PC_POP,NL,0.9,0.8,0.7,0.8,0.9,1.0,0.9,1.0,0.9,1.2,1.5,1.5,1.4,3.1,2.5,3.0,3.4
A,FOR,T,Y20-64,PC_POP,NO,2.4,2.8,3.2,3.8,4.6,5.1,4.6,5.5,4.6,4.4,5.8,4.4,4.3,2.7,2.9,3.3,3.4
A,FOR,T,Y20-64,PC_POP,PL,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.6,0.1,0.2,0.7,1.1
A,FOR,T,Y20-64,PC_POP,PT,1.4,1.5,1.3,0.9,0.6,0.6,0.6,0.6,0.6,0.7,0.9,1.7,1.9,0.7,1.6,3.2,3.2
A,FOR,T,Y20-64,PC_POP,RO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,0.2
A,FOR,T,Y20-64,PC_POP,RS,NaN,NaN,NaN,NaN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.2
A,FOR,T,Y20-64,PC_POP,SE,2.3,2.6,2.9,3.3,3.3,3.5,3.7,3.8,4.3,4.8,5.6,6.1,6.3,5.1,4.5,4.2,3.9
A,FOR,T,Y20-64,PC_POP,SI,0.3,0.4,0.4,0.6,1.2,1.1,1.0,1.0,1.1,1.0,1.4,1.8,2.3,1.4,1.8,2.0,1.7
A,FOR,T,Y20-64,PC_POP,SK,0.1,0.1,0.1,NaN,NaN,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,NaN,0.2,0.2,0.3
A,FOR,T,Y20-64,PC_POP,UK,4.7,4.6,4.2,4.3,4.0,3.8,4.1,4.2,4.6,4.5,4.3,4.2,NaN,NaN,NaN,NaN,NaN
A,FOR,T,Y_GE15,PC_POP,AT,2.6,2.4,2.3,2.4,2.7,2.7,3.1,3.5,4.0,4.2,3.8,3.9,3.8,3.5,3.6,4.2,4.6
A,FOR,T,Y_GE15,PC_POP,BA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,0.0
A,FOR,T,Y_GE15,PC_POP,BE,2.5,2.7,2.8,3.2,3.1,3.1,3.5,2.8,2.7,2.5,2.4,2.6,2.6,2.3,2.5,2.7,3.1
A,FOR,T,Y_GE15,PC_POP,BG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,0.1,0.1,NaN,NaN,NaN,NaN,NaN,0.1
A,FOR,T,Y_GE15,PC_POP,CH,5.0,5.4,3.9,4.2,5.8,6.2,6.3,6.5,6.6,6.5,6.3,6.1,6.0,5.9,6.0,6.2,6.5
A,FOR,T,Y_GE15,PC_POP,CY,8.3,9.1,11.1,10.5,9.8,8.0,6.0,5.3,5.1,5.6,6.3,6.8,8.1,7.0,7.4,8.5,9.2
A,FOR,T,Y_GE15,PC_POP,CZ,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.5,0.5,0.7,1.2,1.3
A,FOR,T,Y_GE15,PC_POP,DE,1.4,1.3,0.9,1.0,1.2,1.5,1.8,2.2,3.1,3.4,3.6,3.4,2.5,3.2,3.5,4.1,4.4
A,FOR,T,Y_GE15,PC_POP,DK,0.8,1.0,1.2,1.4,1.6,1.8,1.9,2.0,1.8,2.1,2.1,2.0,2.0,1.2,1.0,1.1,1.9
A,FOR,T,Y_GE15,PC_POP,EA20,1.8,1.8,1.6,1.5,1.4,1.3,1.3,1.4,1.6,1.7,1.9,2.0,1.8,1.9,2.1,2.4,2.6
A,FOR,T,Y_GE15,PC_POP,EE,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.7,0.6,0.7,0.9,1.2,1.2,1.9,3.2
A,FOR,T,Y_GE15,PC_POP,EL,1.4,1.6,1.5,1.3,1.1,0.8,0.6,0.4,0.3,0.3,0.4,0.4,0.3,0.2,0.1,0.2,0.2
A,FOR,T,Y_GE15,PC_POP,ES,4.6,4.2,3.6,2.9,2.0,1.4,1.2,1.2,1.1,1.3,1.7,2.2,2.4,2.5,3.0,3.4,4.0
A,FOR,T,Y_GE15,PC_POP,EU27_2020,1.5,1.4,1.3,1.2,1.2,1.1,1.1,1.2,1.4,1.5,1.6,1.7,1.6,1.6,1.7,2.0,2.3
A,FOR,T,Y_GE15,PC_POP,FI,0.6,0.7,0.8,0.8,0.9,1.0,0.8,1.0,0.8,0.7,0.8,0.8,0.9,1.2,1.4,1.8,2.1
A,FOR,T,Y_GE15,PC_POP,FR,1.2,1.1,0.9,1.1,1.1,1.0,1.0,1.1,1.1,1.1,1.2,1.2,1.2,1.0,1.0,1.1,1.1
A,FOR,T,Y_GE15,PC_POP,HR,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,NaN,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2
A,FOR,T,Y_GE15,PC_POP,HU,0.2,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.4
A,FOR,T,Y_GE15,PC_POP,IE,9.0,8.2,6.8,5.4,4.2,3.4,3.4,3.7,4.0,4.4,4.9,5.1,4.5,3.7,4.5,5.2,5.7
A,FOR,T,Y_GE15,PC_POP,IS,NaN,NaN,NaN,1.4,0.9,1.3,1.3,0.9,0.3,NaN,0.5,1.5,1.7,2.1,2.3,2.4,2.3
A,FOR,T,Y_GE15,PC_POP,IT,1.2,1.3,1.4,1.4,1.3,1.1,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7
A,FOR,T,Y_GE15,PC_POP,LT,NaN,NaN,NaN,NaN,NaN,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.4,0.5,1.0
A,FOR,T,Y_GE15,PC_POP,LU,8.2,8.9,8.7,10.3,11.2,10.3,10.6,11.6,13.0,12.4,14.1,14.8,13.6,4.4,9.7,10.5,14.0
A,FOR,T,Y_GE15,PC_POP,LV,0.2,0.4,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.4,0.5,0.4,0.6,0.7
A,FOR,T,Y_GE15,PC_POP,ME,NaN,NaN,NaN,0.3,0.5,0.3,0.6,0.4,0.3,0.3,0.3,NaN,NaN,NaN,NaN,NaN,NaN
A,FOR,T,Y_GE15,PC_POP,MK,NaN,NaN,0.0,0.0,0.1,0.0,0.0,NaN,0.1,0.0,NaN,0.0,0.0,NaN,NaN,NaN,NaN
A,FOR,T,Y_GE15,PC_POP,MT,0.2,0.3,0.4,0.2,0.3,0.6,1.0,1.4,1.0,3.5,6.3,9.2,8.2,7.7,8.4,12.1,10.9
A,FOR,T,Y_GE15,PC_POP,NL,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.9,1.1,1.2,1.0,2.4,1.9,2.3,2.7
A,FOR,T,Y_GE15,PC_POP,NO,2.1,2.3,2.7,3.2,3.9,4.3,3.6,4.2,3.5,3.3,4.5,3.5,3.4,2.1,2.2,2.5,2.6
A,FOR,T,Y_GE15,PC_POP,PL,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.4,0.1,0.2,0.6,0.9
A,FOR,T,Y_GE15,PC_POP,PT,1.1,1.2,1.1,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.7,1.3,1.4,0.5,1.2,2.4,2.4
A,FOR,T,Y_GE15,PC_POP,RO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,0.1
A,FOR,T,Y_GE15,PC_POP,RS,NaN,NaN,NaN,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1
A,FOR,T,Y_GE15,PC_POP,SE,1.8,2.0,2.3,2.6,2.6,2.7,2.9,3.0,3.4,3.6,4.2,4.7,4.9,3.9,3.4,3.1,2.9
A,FOR,T,Y_GE15,PC_POP,SI,0.3,0.3,0.3,0.5,0.9,0.9,0.9,0.8,0.9,0.8,1.2,1.4,1.7,1.1,1.4,1.6,1.4
A,FOR,T,Y_GE15,PC_POP,SK,0.1,0.1,0.1,NaN,NaN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,NaN,0.2,0.2,0.2
A,FOR,T,Y_GE15,PC_POP,UK,3.7,3.6,3.4,3.3,3.1,2.9,3.2,3.3,3.6,3.5,3.3,3.2,NaN,NaN,NaN,NaN,NaN
A,FOR,T,Y_GE20,PC_POP,AT,2.6,2.4,2.3,2.4,2.7,2.8,3.1,3.5,4.0,4.1,3.8,3.9,3.8,3.5,3.6,4.2,4.6
A,FOR,T,Y_GE20,PC_POP,BA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,0.0
A,FOR,T,Y_GE20,PC_POP,BE,2.6,2.7,2.8,3.2,3.2,3.2,3.6,2.8,2.7,2.6,2.5,2.6,2.7,2.3,2.5,2.7,3.2
A,FOR,T,Y_GE20,PC_POP,BG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1,NaN,0.1,NaN,NaN,NaN,NaN,NaN,0.1
A,FOR,T,Y_GE20,PC_POP,CH,5.2,5.6,4.0,4.3,6.0,6.4,6.5,6.7,6.8,6.6,6.3,6.2,6.1,6.0,6.0,6.3,6.6
A,FOR,T,Y_GE20,PC_POP,CY,8.7,9.5,11.5,11.0,10.2,8.4,6.2,5.4,5.2,5.6,6.4,6.8,8.2,7.1,7.6,8.8,9.3
A,FOR,T,Y_GE20,PC_POP,CZ,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.5,0.5,0.7,1.1,1.3
A,FOR,T,Y_GE20,PC_POP,DE,1.4,1.3,1.0,1.0,1.2,1.5,1.8,2.2,3.1,3.4,3.5,3.4,2.5,3.2,3.5,4.0,4.3
A,FOR,T,Y_GE20,PC_POP,DK,0.8,1.1,1.2,1.4,1.7,1.9,2.0,2.1,1.9,2.1,2.2,2.1,2.1,1.3,1.0,1.2,2.0
A,FOR,T,Y_GE20,PC_POP,EA20,1.8,1.7,1.5,1.5,1.4,1.3,1.3,1.4,1.6,1.7,1.8,1.9,1.8,1.9,2.0,2.4,2.6
A,FOR,T,Y_GE20,PC_POP,EE,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.4,0.7,0.6,0.7,0.9,1.2,1.3,1.9,3.1
A,FOR,T,Y_GE20,PC_POP,EL,1.4,1.6,1.5,1.3,1.1,0.8,0.7,0.4,0.3,0.3,0.4,0.4,0.3,0.2,0.1,0.1,0.2
A,FOR,T,Y_GE20,PC_POP,ES,4.5,4.0,3.5,2.7,1.9,1.3,1.1,1.1,1.1,1.3,1.6,2.2,2.4,2.4,2.9,3.4,3.9
A,FOR,T,Y_GE20,PC_POP,EU27_2020,1.4,1.4,1.3,1.2,1.1,1.1,1.1,1.2,1.4,1.5,1.6,1.7,1.6,1.6,1.7,2.0,2.2
A,FOR,T,Y_GE20,PC_POP,FI,0.6,0.7,0.8,0.8,0.9,1.0,0.8,1.0,0.8,0.7,0.8,0.8,0.9,1.2,1.4,1.8,2.1
A,FOR,T,Y_GE20,PC_POP,FR,1.2,1.1,1.0,1.1,1.1,1.0,1.0,1.1,1.1,1.1,1.2,1.2,1.2,1.0,1.0,1.0,1.0
A,FOR,T,Y_GE20,PC_POP,HR,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.0,NaN,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2
A,FOR,T,Y_GE20,PC_POP,HU,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.4
A,FOR,T,Y_GE20,PC_POP,IE,9.4,8.6,6.9,5.5,4.2,3.5,3.5,3.9,4.2,4.5,5.1,5.3,4.6,3.8,4.7,5.5,5.9
